مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,عنوان الإعلان,نص قصير,نعم,,,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,الوصف,نص طويل,نعم,,,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,السعر,رقم,نعم,,,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل بحالة جيدة، يحتاج صيانة,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,المقاس / الحجم,قائمة منسدلة,لا,المقاس / الحجم,صغير، متوسط، كبير، متعدد المقاسات، لا ينطبق,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,الكمية,رقم,لا,,,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,طريقة التسليم,قائمة منسدلة,لا,طريقة التسليم,استلام من البائع، توصيل داخل المدينة,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، محل / متجر، مربي، وسيط,
الحيوانات الأليفة والمواشي > الإكسسوارات والمعدات والأعلاف والطعام,قابل للتفاوض,قائمة منسدلة,لا,قابل للتفاوض,نعم، لا,
