مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
دروس خصوصية,عنوان الإعلان,نص قصير,نعم,,
دروس خصوصية,وصف الإعلان,نص طويل,نعم,,
دروس خصوصية,نوع الإعلان,قائمة منسدلة,نعم,نوع الإعلان,أقدم دروس، أبحث عن مدرس
دروس خصوصية,المادة / المهارة,نص قصير,نعم,,
دروس خصوصية,المستوى المستهدف,قائمة منسدلة,نعم,المستوى المستهدف,ابتدائي، إعدادي، ثانوي، جامعي، مبتدئ، متوسط، متقدم، جميع المستويات
دروس خصوصية,طريقة الدرس,قائمة منسدلة,نعم,طريقة الدرس,حضوري، أونلاين، حضوري وأونلاين
دروس خصوصية,مكان الدرس,قائمة منسدلة,لا,مكان الدرس,عند المدرس، عند الطالب، مركز تعليمي، أونلاين، حسب الاتفاق
دروس خصوصية,الأجر / السعر,نص قصير,لا,,
دروس خصوصية,العملة,قائمة منسدلة,لا,العملة,دولار، ليرة سورية، ليرة تركية
دروس خصوصية,طريقة التسعير,قائمة منسدلة,لا,طريقة التسعير,للحصة، للساعة، شهري، للدورة كاملة، حسب الاتفاق
دروس خصوصية,خبرة المدرس,قائمة منسدلة,لا,خبرة المدرس,بدون تحديد، أقل من سنة، سنة - 3 سنوات، 3 - 5 سنوات، أكثر من 5 سنوات، أكثر من 10 سنوات
دروس خصوصية,المؤهل / الاعتماد,قائمة منسدلة,لا,المؤهل / الاعتماد,غير محدد، طالب جامعي، خريج جامعي، مدرس / معلم، مدرب معتمد، خبير / مختص
دروس خصوصية,لغة الشرح,قائمة متعددة,لا,لغة الشرح,العربية، التركية، الإنجليزية، الكردية، أخرى
دروس خصوصية,اسم المدرس / المركز,نص قصير,لا,,
