الأمر,مسار القسم,الفلتر / الحقل,الموجود حاليًا,المطلوب حسب الملف,الملاحظة
حذف فلتر,الآلات والمعدات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الآلات والمعدات > معدات بناء وإنشاءات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الآلات والمعدات > معدات صناعية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الآلات والمعدات > معدات وآلات زراعية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي > أسماك الزينة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,أليف / معتاد على التعامل,أليف / معتاد على التعامل,غير مطلوب,فلتر حيوانات موجود بقسم أعلاف
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,الجنس,الجنس,غير مطلوب,فلتر حيوانات موجود بقسم أعلاف
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,الحالة الصحية,الحالة الصحية,غير مطلوب,فلتر حيوانات موجود بقسم أعلاف
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,العمر,العمر,غير مطلوب,فلتر حيوانات موجود بقسم أعلاف
حذف فلتر,الحيوانات الأليفة والمواشي > أعلاف وطعام,مطعّم,مطعّم,غير مطلوب,فلتر حيوانات موجود بقسم أعلاف
حذف فلتر,الحيوانات الأليفة والمواشي > الدواجن,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي > مستلزمات وإكسسوارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الحيوانات الأليفة والمواشي > مواشي وحيوانات كبيرة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > إيجار يومي سياحي,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > إيجار يومي سياحي > شقة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > شقة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > المركبات التجارية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
