مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"قطع غيار السيارات > معدات السيارات
قطع غيار السيارات > معدات الدراجات النارية
قطع غيار السيارات > معدات المركبات البحرية",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل بحالة جيدة، يحتاج صيانة، لا يعمل / للتصليح
,أصلية / تجارية,قائمة منسدلة,لا,أصلية / تجارية,أصلية، تجارية، غير معروف
,متوافق مع,نص قصير,لا,,
,رقم القطعة إن وجد,نص قصير,لا,,
,الكمية,رقم,لا,,
,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا، لا ينطبق
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، تاجر، محل قطع، شركة
