مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > كمبيوتر
سلع مستعملة وجديدة > هواتف وإكسسوارات
سلع مستعملة وجديدة > أجهزة منزلية كهربائية
سلع مستعملة وجديدة > إلكترونيات منزلية
سلع مستعملة وجديدة > إلكترونيات تقنية
سلع مستعملة وجديدة > تصوير وكاميرات
سلع مستعملة وجديدة > مستلزمات اللاعبين",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل، يحتاج صيانة
,الضمان,قائمة منسدلة,لا,الضمان,يوجد ضمان، لا يوجد ضمان، غير معروف
,الملحقات,قائمة متعددة,لا,الملحقات,شاحن، كابل، علبة أصلية، ريموت، بطارية، حقيبة، لا يوجد
,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
