مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > أغذية وأعلاف
سلع مستعملة وجديدة > عناية شخصية ومستحضرات تجميل
",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، غير مفتوح، مفتوح
,تاريخ الصلاحية,تاريخ,لا,,
,الكمية,نص قصير,لا,,
,بلد المنشأ,نص قصير,لا,,
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
