row_num,csv_path,csv_name,status,message,subcategory_id,db_name_ar,slug,nodes_deleted,ads_count
1,"العقارات > عقار تجاري > تنازل عن عقد الإيجار > وكيل ألعاب حظ","وكيل ألعاب حظ",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",44548,"وكيل ألعاب حظ",lottery-dealer,1,0
2,"العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > وكيل ألعاب حظ","وكيل ألعاب حظ",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",44612,"وكيل ألعاب حظ",lottery-dealer-business-transfer-sale,1,0
3,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > مجموعات مدمجة","مجموعات مدمجة",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26191,"مجموعات مدمجة",built-in-sets-2,1,0
4,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > آلات فراغ","آلات فراغ",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26264,"آلات فراغ",vacuum-machines-2,1,0
5,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > جارباجي ديسبوسالس","جارباجي ديسبوسالس",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26244,"جارباجي ديسبوسالس",garbage-disposals-2,1,0
6,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > عصارات",عصارات,would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26250,عصارات,juicers-2,1,0
7,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الخبز","ماكينات الخبز",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26230,"ماكينات الخبز",bread-machines-2,1,0
8,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مجفف الطعام","مجفف الطعام",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26242,"مجفف الطعام",food-dehydrator-2,1,0
9,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > ستائر هوائية","ستائر هوائية",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26224,"ستائر هوائية",air-curtains-2,1,0
10,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخان لوحة المسخن","سخان لوحة المسخن",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26218,"سخان لوحة المسخن",convector-panel-heater-2,1,0
11,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخانات الزيت المبرد","سخانات الزيت المبرد",would_delete,"Would soft-delete 1 node(s), 0 linked ad(s)",26220,"سخانات الزيت المبرد",oil-radiator-heaters-2,1,0
